champlain, flathead, goose, great_salt_lake, lower_red, manitoba, marion, mcconaugh, mead, mille_lacs_lake, mono, moultrie, nipigon, okeechobee, oneida, pontchartrain, sakakawea, salton_sea, sebago, tahoe, upper_klamath, winnebago, winnipesaukee
20181209, 0.18, 0, 0.17, 0.21, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.14, 0, 0.89, 0, 0, 0.01, 0.14, 0.94, 0
20181210, 0.25, 0, 0.18, 0.18, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.15, 0, 0.9, 0, 0, 0.01, 0.14, 0.95, 0
20181211, 0.33, 0, 0.16, 0.15, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.17, 0, 0.91, 0, 0, 0.02, 0.09, 0.97, 0
20181212, 0.44, 0, 0.17, 0.13, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.17, 0, 0.91, 0, 0.05, 0.01, 0.08, 0.98, 0.03
20181213, 0.55, 0, 0.07, 0.12, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0.18, 0, 0.93, 0, 0.29, 0.01, 0.07, 0.99, 0.15
20181214, 0.68, 0, 0.08, 0.16, 1, 1, 0, 0, 0, 1, 0, 0, 0.93, 0, 0.18, 0, 0.87, 0, 0.67, 0.01, 0.07, 0.99, 0.38
20181215, 0.43, 0, 0.05, 0.24, 1, 1, 0, 0, 0, 1, 0, 0, 0.89, 0, 0.17, 0, 0.86, 0, 0.72, 0, 0.05, 0.99, 0.39
20181216, 0.23, 0, 0.01, 0.29, 1, 1, 0, 0, 0, 1, 0, 0, 0.85, 0, 0.17, 0, 0.82, 0, 0.57, 0, 0.05, 0.99, 0.24
20181217, 0.25, 0, 0, 0.34, 1, 1, 0, 0, 0, 1, 0, 0, 0.7, 0, 0.17, 0, 0.8, 0, 0.61, 0, 0.02, 1, 0.24
20181218, 0.23, 0, 0, 0.35, 1, 1, 0, 0, 0, 1, 0, 0, 0.72, 0, 0.16, 0, 0.83, 0, 0.56, 0, 0.01, 1, 0.22
20181219, 0.28, 0, 0, 0.34, 1, 1, 0, 0, 0, 1, 0, 0, 0.75, 0, 0.17, 0, 0.83, 0, 0.57, 0, 0, 1, 0.24
20181220, 0.35, 0, 0, 0.28, 1, 1, 0, 0, 0, 1, 0, 0, 0.75, 0, 0.18, 0, 0.73, 0, 0.61, 0, 0, 1, 0.27
20181221, 0.33, 0, 0, 0.28, 1, 1, 0, 0, 0, 1, 0, 0, 0.74, 0, 0.18, 0, 0.72, 0, 0.63, 0, 0, 1, 0.33
20181222, 0.26, 0, 0, 0.27, 1, 1, 0, 0, 0, 1, 0, 0, 0.77, 0, 0.09, 0, 0.72, 0, 0.53, 0, 0, 1, 0.31
