great_salt_lake champlain winnebago salton_sea manitoba pontchartrain lower_red okeechobee tahoe oneida flathead mille_lacs_lake sebago winnipesaukee mono goose marion moultrie sakakawea mead upper_klamath mcconaugh nipigon
20191023 11.2 12.2 9.4 NA 3.4 NA 2.5 27.8 12.4 12.5 9.2 6.8 11.1 NA 12.2 7.7 20.7 21 8.4 NA 9.2 NA NA
20191024 9.1 12.1 8.5 23.3 3.1 NA 6.3 NA 10 NA NA 7.3 12.2 NA 10.1 5.9 20.9 19.8 9.4 NA 7.5 NA 5.4
20191025 10.4 NA 8.6 23.5 3.2 NA 6.4 26.6 12.4 NA 9.2 7.9 NA NA 12 8.4 NA NA 8.9 NA 9.7 NA NA
20191026 10.2 11 7.1 23.1 3.3 NA 6.5 NA 12.9 NA NA 8.1 12.2 NA 12.7 NA 20.4 20.7 NA NA 9.4 NA 8
20191027 NA NA 8.8 22.9 NA NA NA 27.2 11.1 NA NA NA NA NA NA NA NA NA NA NA 7.2 NA NA
20191028 7.3 9.8 NA 21.4 1.4 NA NA NA 11.1 12.2 NA NA NA NA 10.1 5.8 NA NA 8.7 NA 6.6 NA 6.8
20191029 NA 11.2 7.1 21 NA NA NA NA 11 12.6 6.4 NA NA NA 10.2 NA NA NA NA NA 6.4 NA 7.1
20191030 6.3 12 5 19.1 1.1 NA NA 28.3 11 NA 6.1 NA NA NA 10.4 NA NA NA 2.7 NA 6.1 NA NA
20191031 NA NA NA 21.1 NA NA 2.5 28.2 10.8 NA NA 4.9 NA NA 9.7 5.8 21 21.1 NA NA 4.9 NA 5.2
20191101 6.3 9.8 NA 20.5 NA NA NA NA 11 NA 6.3 NA 11.1 NA 9.9 5 19.2 19.4 NA NA 5.8 NA NA
20191102 6 11 5.1 20.1 NA NA NA NA 10.9 NA NA NA 10.6 NA 9.8 5.4 19 19.1 3.3 NA 7.3 NA 3.3
20191103 5.7 9.6 NA 20.5 NA NA NA NA 11.2 NA NA NA 10.9 NA 10.3 6.2 18.5 18.6 1.9 NA 6.5 NA NA
20191104 6.4 7.6 NA 20.6 0.2 NA NA 24.9 11.4 NA NA NA 10.6 NA 9.9 7.7 16 16.1 4.5 NA 6.8 NA NA
20191105 7.2 NA 4.4 20.5 NA NA 1.3 NA 11 NA NA 3 NA NA 9.7 5.8 NA NA NA NA NA NA 4.8
20191106 6.8 9.5 NA 20.9 NA NA NA NA 10.6 9.2 NA NA 10.2 NA 9.4 7.7 18.6 18.7 4.2 NA 6.9 NA 2.6
20191107 6.9 NA NA 21.2 NA NA NA 27.1 11 NA 5.4 NA NA NA 9.7 NA 18 17.8 2.7 NA NA NA NA
20191108 7.8 8 NA NA NA NA NA 27.6 11.1 5.8 4.9 NA 9.2 NA 9.8 7.1 NA 16.5 NA NA 6.6 NA 3.6
20191109 7.2 4.8 1.5 20.2 NA NA NA NA 10.8 NA NA NA 8.8 NA 9.2 2.8 16.9 16.7 NA NA NA NA NA
20191110 6.8 NA NA 20.8 NA NA NA 24.5 11.3 NA NA NA NA NA 9.5 7.3 16.5 16.5 NA NA 7.8 NA 2.5
20191111 7.2 NA NA 20.8 NA NA NA 23.9 10.2 NA NA 0.3 NA NA NA NA NA NA 2.8 NA 4 NA NA
20191112 NA 7.4 0.4 21.4 NA NA NA 24.3 9.2 NA NA 0.2 NA NA 7.4 NA NA NA NA NA NA NA 3.7
20191113 7.2 6.3 NA 19.6 NA NA NA 22.5 7.8 NA NA NA 7.4 NA NA NA 14.9 15.1 NA NA 3.9 NA NA
20191114 4.2 NA NA 20.4 NA NA NA NA 10.1 NA NA NA NA NA NA 3.6 NA NA 3.7 NA NA NA NA
20191115 6 NA NA 20.5 NA NA NA NA 11 NA NA 0.1 7.6 NA 9.1 5.6 NA NA 3.8 NA 4.5 NA 3.7
20191116 7.9 6 NA 20.7 NA NA NA 21.1 10.6 4.3 NA 0.1 6.9 NA 8.9 6.3 NA NA 0.7 NA NA NA 2.6
20191117 6.5 7.8 NA 20.9 NA NA NA NA 10.4 NA NA NA NA NA 7.7 4.8 NA NA NA NA 6.1 NA NA
20191118 NA NA NA 19.6 0.5 NA NA NA 10.7 NA NA NA NA NA 9.1 1.6 NA NA 3.4 NA NA NA NA
20191119 NA NA NA NA NA NA NA 21.8 10.5 2.6 NA NA NA NA 9.1 5.4 NA NA 3.2 NA 4.1 NA NA
20191120 NA NA NA NA NA NA NA 19.6 NA NA 5.8 NA NA NA NA NA 12.8 12.4 NA NA 5.8 NA NA
20191121 NA 7 NA NA NA NA NA 19.8 9.6 NA 5.4 NA 6.4 NA 7.3 NA 13.1 12.8 2.8 NA 4.4 NA NA
20191122 NA NA NA 18 NA NA NA 21.3 9.7 NA NA NA NA NA NA 4.2 10.8 13 2.6 NA 4.2 NA 2.1
20191123 5.9 6.5 NA 18.9 NA NA NA 22.3 9.7 3.4 NA 1.1 6.3 NA 7.8 1.7 NA 11 3.1 NA 4 NA 2.2
20191124 4.8 NA NA 18.6 NA NA NA 21.7 9 NA 5.8 NA NA NA NA NA 12.9 13.3 2.6 NA 3.3 NA NA
20191125 NA 7.3 NA 18.4 NA NA NA 20.1 9.2 NA 3.2 NA 6.4 NA 7 0.8 13.5 13.7 1.6 NA 1.2 NA NA
20191126 2.7 5.9 0.6 18 NA NA NA NA NA 3.2 4.3 NA 6.1 NA NA NA 12.8 11.5 0.8 NA NA NA NA
20191127 NA NA NA 17.4 NA NA NA 19.9 4.3 NA NA NA NA NA NA NA 12.6 14.3 1.6 NA NA NA NA
20191128 NA NA NA 16.6 NA NA NA 21.4 8.1 NA NA NA NA NA NA NA NA NA NA NA 0.6 NA 1.5
20191129 NA NA NA 16.2 NA NA NA 21.2 5.2 NA NA NA 5.9 NA 2.5 NA 13.2 13.3 NA NA 0.6 NA 2.1
20191130 2.4 4.9 NA 15.6 NA NA NA 22.3 NA 1.7 NA NA 5.3 NA NA NA NA NA NA NA NA NA 2
20191201 NA NA NA NA NA NA NA 21.7 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.3
20191202 0.7 NA 0.3 15.7 NA NA NA NA NA NA NA NA NA NA 4.5 NA 12.7 13.1 2.1 NA NA NA 2
20191203 2.2 4.8 0.1 NA NA NA NA 19.1 7.3 NA NA NA NA NA NA NA 12 12.3 1.2 NA 1.4 NA NA
20191204 0.6 NA NA NA NA NA NA 18.3 NA NA NA NA NA NA NA NA 11.8 12 2.2 NA NA NA NA
20191205 NA 1.7 NA NA NA NA NA 17.6 7.5 NA NA NA 3.1 NA NA NA 11.8 11.9 NA NA NA NA NA
20191206 2.7 NA NA NA NA NA NA 19.7 7.9 NA NA NA NA NA 3.6 NA NA NA NA NA NA NA NA
20191207 NA NA 0 NA NA NA NA 19.1 7.5 NA NA NA 4.3 NA 4.7 NA 12.3 11.6 NA NA NA NA 1.9
20191208 1.2 NA NA NA NA NA NA 19.8 NA NA NA NA 4.3 NA NA NA 10.9 11.5 NA NA NA NA NA
20191209 1.6 NA NA 16.7 NA NA NA 21.2 7.3 NA NA NA NA NA 4.5 NA NA NA NA NA NA NA NA
20191210 1.9 NA NA 16.1 NA NA NA 21.8 7.2 NA NA NA NA NA NA NA 12.7 12.9 NA NA NA NA 0.5
20191211 NA 3.9 NA 16.3 NA NA NA 22 NA NA NA NA NA NA NA NA 12.3 12.2 NA NA NA NA NA
20191212 NA 2.7 NA 16.2 NA NA NA 21.1 NA 0.8 4.2 NA 3.7 NA 4.5 NA 12 11.9 NA NA NA NA NA
20191213 0.6 2.8 NA 16.7 NA NA NA NA NA 0 NA NA NA NA 4 NA NA NA NA NA NA NA NA
20191214 2.6 NA NA 15.6 NA NA NA NA 7.4 NA NA NA NA NA 4.6 0.7 11.6 11.2 NA NA NA NA NA
20191215 0.4 NA NA 16.1 NA NA NA 20.9 6.4 NA 2.5 NA NA NA 4.5 NA 11.4 11.6 NA NA 1 NA NA
20191216 1.4 2.7 NA 16 NA NA NA 22.2 6.7 NA 2.9 NA NA NA 3.3 NA 11.8 12 NA NA NA NA 0.6
20191217 1.4 NA NA 14.6 NA NA NA 21.3 NA NA NA NA NA NA NA NA NA NA 0.5 NA NA NA 0.3
20191218 NA NA NA 10.5 NA NA NA NA 6.6 NA 1.1 NA NA NA 3.5 NA 11.7 11.8 NA NA NA NA NA
20191219 0.7 2.4 NA 14.3 NA NA NA 17.1 6.7 NA NA NA 3.2 NA 4.1 NA 10.6 10.8 NA NA NA NA 0.2
20191220 0.8 2.2 NA 14.7 NA NA NA NA NA NA 2.8 NA 3.1 NA NA NA 9.6 10.1 0 NA NA NA NA
20191221 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.6 NA NA NA NA NA NA NA
20191222 NA NA 0.3 NA NA NA NA NA NA NA 3.7 NA NA NA 3.8 NA NA NA NA NA NA NA NA
20191223 NA NA 0.2 NA NA NA NA 19.6 NA NA NA NA NA NA NA NA NA NA NA NA 0.9 NA 0.2
20191224 1.3 2.7 NA 14.7 NA NA NA 19.6 6.1 NA 3.3 NA 3.2 NA 2.4 NA 10.9 10.8 NA NA NA NA NA
20191225 0.4 NA NA 14.4 NA NA NA NA 3.7 NA NA NA NA NA 2.5 NA NA NA NA NA NA NA NA
20191226 0.4 NA 0.4 NA NA NA NA 19.4 3.8 NA NA NA NA NA NA NA 9.9 11.5 NA NA 0.7 NA NA
20191227 1 NA NA 13.8 NA NA NA 19.9 6.2 NA NA NA NA NA 2 NA NA NA 0.2 NA NA NA NA
20191228 0.8 2.6 NA 14.3 NA NA NA 20.6 NA NA NA NA 3 NA 2.4 NA NA NA NA NA 0.3 NA NA
20191229 NA NA NA 11.8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
20191230 NA NA NA NA NA NA NA NA 5.8 NA NA NA NA NA NA NA NA NA NA NA 0.7 NA NA
20191231 0.3 NA NA NA NA NA NA 21.7 NA NA NA NA NA NA NA NA 12 12.5 0.1 NA NA NA NA
